order_count_with_promo,price_amount,promo_amount,category_f_order_count_with_promo,category_f_promo_amount,similar_device_count,similar_email_count,label
0.0,6.523846189305274e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0002654293093379,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001058159819025,0.0,0.0,0.0,0.0,0.0,0
0.0,3.922340593675539e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,3.673235244239576e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0292236977989136,0.0,0.0,0.0,0.0357142857142857,0.0,0
0.0,0.0001710326976416,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0019074103041972,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001674564020467,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0002307846450538,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0002062155075141,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0015724655407165,0.0,0.0,0.0,0.0,0.0,0
0.0,0.000151649300601,0.0,0.0,0.0,0.0,0.0,0
0.0,6.868112478978377e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,4.343493021375632e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,4.292923246899431e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0326489296741595,0.0,0.0,0.0,0.0,0.0416666666666666,0
0.0,0.0002407339408254,0.0,0.0,0.0,0.0,0.0,0
0.0,2.844213329849275e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,1.764364734574646e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,1.2761492336462311e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0017097181988605,0.0,0.0,0.0,0.0,0.0,0
0.0,4.016440046186186e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0014023379765281,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001923301004973,0.0,0.0,0.0,0.0,0.0416666666666666,0
0.0,0.0008423048554001,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0004092637651633,0.0,0.0,0.0,0.0,0.0,0
0.0,2.932001233715916e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.000297950998169,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0005683951197932,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0003607738582629,0.0,0.0,0.0,0.0,0.0,0
0.0,5.724999215204822e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,7.587514268965267e-06,0.0,0.0,0.0,0.0,0.0,0
0.0,2.366830741502573e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001341204086851,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0052494943125797,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001033085757594,0.0,0.0,0.0,0.0,0.0,0
0.0,3.107577041449198e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,3.916029045031532e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001134759068477,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0005646426172358,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0007592165880315,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001099093080867,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001174765680223,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0002658691669007,0.0,0.0,0.0,0.0,0.0,0
0.0,5.7176835565492674e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001975055703854,0.0,0.0,0.0,0.0,0.0,0
0.0,2.295108597820677e-06,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001865349512878,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0006859520166165,0.0,0.0,0.0,0.0,0.0,0
0.0,9.610767253374086e-06,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0038551919128965,0.0,0.0,0.0,0.0,0.125,0
0.0,4.303328620913771e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0018239292863698,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0012841056866222,0.0,0.0,0.0,0.0,0.0,0
0.0,0.000971157243943,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0009711627522036,0.0,0.0,0.0,0.0,0.0,0
0.0,1.1475542989103388e-06,0.0,0.0,0.0,0.0,0.0,0
0.0,9.036990103918916e-06,0.0,0.0,0.0,0.0,0.0,0
0.0,3.193425859701484e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,9.290599603978104e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,9.050955839736656e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0019471754131408,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0002022048052394,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0011608975438986,0.0,0.0,0.0,0.0,0.0,0
0.0,7.229592083135134e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,2.725441459912055e-06,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0002329879493077,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0005728657767491,0.0,0.0,0.0,0.0,0.0,0
0.0,8.801167695492844e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0007190804747831,0.0,0.0,0.0,0.0,0.0,0
0.0,3.4875322698184106e-05,0.0,0.0,0.0,0.0,0.0416666666666666,0
0.0,0.0005874559966981,0.0,0.0,0.0,0.0,0.0,0
0.0,1.0471432977556842e-05,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0004069467382784,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0005821743206597,0.0,0.0,0.0,0.0,0.0,0
0.0,3.4426628967310167e-06,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0001611740012819,0.0,0.0,0.0,0.0,0.0,0
0.0,3.5901236241409946e-05,0.0,0.0,0.0,0.0,0.0,0
